employee_id,source_employee_id,company_origin,first_name,last_name,full_name,email,department,department_standardized,job_title,manager_id,employment_type,country,jurisdiction,hire_date,source_system,duplicate_check,kept_in_golden
AC-000001,ACQ_00001,AcquiredCo,Larry,Smith,Larry Smith,larry.smith@acquiredco.com,Product,Product,Controller,AC-002436,Part-Time,Mexico,,2024-06-27,acquiredco_hris,hris_employee_id,True
AC-000002,ACQ_00002,AcquiredCo,Michael,Crawford,Michael Crawford,michael.crawford@acquiredco.com,Legal,Legal,Controller,AC-002546,Part-Time,Japan,,2021-06-09,acquiredco_hris,hris_employee_id,True
AC-000003,ACQ_00003,AcquiredCo,Brandon,Moore,Brandon Moore,brandon.moore@acquiredco.com,Marketing,Marketing,Solutions Architect,AC-001415,Contractor,United States,,2022-06-20,acquiredco_hris,hris_employee_id,True
AC-000004,ACQ_00004,AcquiredCo,Ashley,Moore,Ashley Moore,ashley.moore@acquiredco.com,Marketing,Marketing,Product Manager,AC-001247,Contractor,Netherlands,,2022-04-27,acquiredco_hris,hris_employee_id,True
AC-000005,ACQ_00005,AcquiredCo,Rachel,Clark,Rachel Clark,rachel.clark@acquiredco.com,Sales,Sales,Solutions Architect,AC-002354,Part-Time,France,,2017-05-01,acquiredco_hris,hris_employee_id,True
AC-000006,ACQ_00006,AcquiredCo,Ruth,Perez,Ruth Perez,ruth.perez@acquiredco.com,Data Science,Data,Marketing Manager,AC-002594,Part-Time,Spain,,2017-12-12,acquiredco_hris,hris_employee_id,True
AC-000007,ACQ_00007,AcquiredCo,Jonathan,Reed,Jonathan Reed,jonathan.reed@acquiredco.com,Finance,Finance,Sales Representative,AC-001230,Contractor,Switzerland,,2022-07-16,acquiredco_hris,hris_employee_id,True
AC-000008,ACQ_00008,AcquiredCo,Charles,Bennett,Charles Bennett,charles.bennett@acquiredco.com,Strategy,Strategy,Senior Software Engineer,AC-001628,Contractor,Germany,,2023-02-17,acquiredco_hris,hris_employee_id,True
AC-000009,ACQ_00009,AcquiredCo,Michael,Mason,Michael Mason,michael.mason@acquiredco.com,Finance,Finance,Recruiter,AC-001322,Full-Time,Mexico,,2020-12-20,acquiredco_hris,hris_employee_id,True
AC-000010,ACQ_00010,AcquiredCo,Nicole,Reyes,Nicole Reyes,nicole.reyes@acquiredco.com,Communications,Marketing,Solutions Architect,AC-001163,Part-Time,United Kingdom,,2018-02-28,acquiredco_hris,hris_employee_id,True
