record_1_id,record_2_id,similarity_score,hire_date_diff_days,recommended_action,match_type,left_company_origin,right_company_origin,left_full_name,right_full_name,left_email,right_email,left_hire_date,right_hire_date
AC-000000,GT-007166,100.0,0,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,John Allen,John Allen,john.allen@acquiredco.com,john.allen@globaltech.com,2015-11-24,2015-11-24
AC-000011,GT-008663,100.0,21,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Ruth Dixon,Ruth Dixon,ruth.dixon@acquiredco.com,ruth.dixon@globaltech.com,2023-02-26,2023-03-19
AC-000023,GT-012489,100.0,5,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Margaret Peterson,Margaret Peterson,margaret.peterson@acquiredco.com,margaret.peterson@globaltech.com,2024-04-27,2024-05-02
AC-000034,GT-013874,100.0,9,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Jeffrey Taylor,Jeffrey Taylor,jeffrey.taylor@acquiredco.com,jeffrey.taylor@globaltech.com,2017-08-27,2017-08-18
AC-000038,GT-008001,88.88888888888889,10,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Gary Phillips,Larry Phillips,gary.phillips@acquiredco.com,larry.phillips@globaltech.com,2022-02-19,2022-03-01
AC-000078,GT-007941,100.0,20,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Anthony Campbell,Anthony Campbell,anthony.campbell@acquiredco.com,anthony.campbell@globaltech.com,2015-03-27,2015-03-07
AC-000107,GT-008701,100.0,19,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Anna Collins,Anna Collins,anna.collins@acquiredco.com,anna.collins@globaltech.com,2015-01-10,2015-01-29
AC-000115,GT-011019,100.0,30,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Christopher Scott,Christopher Scott,christopher.scott@acquiredco.com,christopher.scott@globaltech.com,2019-05-14,2019-06-13
AC-000124,GT-008092,100.0,3,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Nicholas Stevens,Nicholas Stevens,nicholas.stevens@acquiredco.com,nicholas.stevens@globaltech.com,2020-12-26,2020-12-23
AC-000170,GT-003738,100.0,5,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Ashley King,Ashley King,ashley.king@acquiredco.com,ashley.king@globaltech.com,2019-06-10,2019-06-05
AC-000171,GT-001491,91.66666666666666,8,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Gary Martin,Gary Martinez,gary.martin@acquiredco.com,gary.martinez@globaltech.com,2022-05-19,2022-05-11
AC-000199,GT-014913,100.0,0,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Mary Mason,Mary Mason,mary.mason@acquiredco.com,mary.mason@globaltech.com,2021-05-08,2021-05-08
AC-000210,GT-013041,100.0,24,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,William Martinez,William Martinez,william.martinez@acquiredco.com,william.martinez@globaltech.com,2017-09-03,2017-09-27
AC-000214,GT-009142,100.0,27,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Raymond Reeves,Raymond Reeves,raymond.reeves@acquiredco.com,raymond.reeves@globaltech.com,2015-07-14,2015-08-10
AC-000281,GT-000680,100.0,8,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Ronald Wilson,Ronald Wilson,ronald.wilson@acquiredco.com,ronald.wilson@globaltech.com,2017-08-15,2017-08-07
AC-000332,GT-004788,89.65517241379311,15,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Patricia Garcia,Patrick Garcia,patricia.garcia@acquiredco.com,patrick.garcia@globaltech.com,2022-05-13,2022-05-28
AC-000368,GT-006730,100.0,25,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Margaret Allen,Margaret Allen,margaret.allen@acquiredco.com,margaret.allen@globaltech.com,2019-07-27,2019-08-21
AC-000375,GT-008680,91.66666666666666,15,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Debra Price,Deborah Price,debra.price@acquiredco.com,deborah.price@globaltech.com,2023-10-28,2023-11-12
AC-000400,GT-009066,100.0,15,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Justin Mason,Justin Mason,justin.mason@acquiredco.com,justin.mason@globaltech.com,2016-03-29,2016-03-14
AC-000440,GT-002403,100.0,27,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Nicole Collins,Nicole Collins,nicole.collins@acquiredco.com,nicole.collins@globaltech.com,2023-05-03,2023-04-06
AC-000498,GT-012556,100.0,15,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Patricia Kennedy,Patricia Kennedy,patricia.kennedy@acquiredco.com,patricia.kennedy@globaltech.com,2017-06-19,2017-06-04
AC-000514,GT-001165,100.0,25,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Daniel Wilson,Daniel Wilson,daniel.wilson@acquiredco.com,daniel.wilson@globaltech.com,2017-07-23,2017-06-28
AC-000529,GT-007456,100.0,24,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Patricia Moore,Patricia Moore,patricia.moore@acquiredco.com,patricia.moore@globaltech.com,2016-01-23,2016-02-16
AC-000585,GT-006380,88.0,19,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Robert Reeves,Robert Reyes,robert.reeves@acquiredco.com,robert.reyes@globaltech.com,2015-12-31,2015-12-12
AC-000592,GT-007639,90.32258064516128,23,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Alexander Moore,Alexander Moreno,alexander.moore@acquiredco.com,alexander.moreno@globaltech.com,2024-03-29,2024-03-06
AC-000602,GT-006029,100.0,16,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Amy Hicks,Amy Hicks,amy.hicks@acquiredco.com,amy.hicks@globaltech.com,2016-12-08,2016-11-22
AC-000676,GT-011648,100.0,23,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Kathleen Walker,Kathleen Walker,kathleen.walker@acquiredco.com,kathleen.walker@globaltech.com,2020-07-31,2020-08-23
AC-000723,GT-011487,100.0,16,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Daniel Ramirez,Daniel Ramirez,daniel.ramirez@acquiredco.com,daniel.ramirez@globaltech.com,2018-12-08,2018-12-24
AC-000822,GT-011330,100.0,9,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Samantha Moreno,Samantha Moreno,samantha.moreno@acquiredco.com,samantha.moreno@globaltech.com,2015-08-18,2015-08-27
AC-000854,GT-011942,100.0,18,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Amanda Mason,Amanda Mason,amanda.mason@acquiredco.com,amanda.mason@globaltech.com,2017-06-27,2017-06-09
AC-000866,GT-006308,100.0,18,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Jennifer Hicks,Jennifer Hicks,jennifer.hicks@acquiredco.com,jennifer.hicks@globaltech.com,2021-05-27,2021-05-09
AC-000882,GT-008673,88.0,2,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Daniel Reeves,Daniel Reyes,daniel.reeves@acquiredco.com,daniel.reyes@globaltech.com,2020-04-30,2020-05-02
AC-000894,GT-006700,90.9090909090909,8,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Amy Martin,Amy Martinez,amy.martin@acquiredco.com,amy.martinez@globaltech.com,2021-08-08,2021-07-31
AC-000925,GT-010468,100.0,30,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Donna Lewis,Donna Lewis,donna.lewis@acquiredco.com,donna.lewis@globaltech.com,2024-07-28,2024-08-27
AC-000935,GT-002170,100.0,18,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Jonathan Peterson,Jonathan Peterson,jonathan.peterson@acquiredco.com,jonathan.peterson@globaltech.com,2020-05-31,2020-05-13
AC-000938,GT-009819,100.0,23,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Andrew Peterson,Andrew Peterson,andrew.peterson@acquiredco.com,andrew.peterson@globaltech.com,2021-06-11,2021-07-04
