employee_id,source_employee_id,company_origin,first_name,last_name,full_name,email,department,department_standardized,job_title,manager_id,employment_type,country,jurisdiction,hire_date,source_system,salary_original,currency,pay_frequency,compensation_effective_date,salary_usd_annual,benefits_enrolled,benefits_enrollment_date,source_systems,dedup_method,failed_check,failed_check_description
AC-000003,ACQ_00003,AcquiredCo,Brandon,Moore,Brandon Moore,brandon.moore@acquiredco.com,Marketing,Marketing,Solutions Architect,AC-001415,Contractor,United States,,2022-06-20,acquiredco_hris,98952,USD,Bi-Weekly,2024-07-09,2572752.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000012,ACQ_00012,AcquiredCo,Ruth,Stevens,Ruth Stevens,ruth.stevens@acquiredco.com,Product,Product,Software Engineer,AC-000212,Part-Time,Japan,,2018-06-06,acquiredco_hris,102910,USD,Bi-Weekly,2024-03-09,2675660.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000013,ACQ_00013,AcquiredCo,Michelle,Cooper,Michelle Cooper,michelle.cooper@acquiredco.com,Engineering,Engineering,Controller,AC-002760,Part-Time,Canada,,2022-08-15,acquiredco_hris,148366,USD,Bi-Weekly,2024-10-19,3857516.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000014,ACQ_00014,AcquiredCo,Rachel,Kemp,Rachel Kemp,rachel.kemp@acquiredco.com,Information Technology,Information Technology,Senior Software Engineer,AC-001417,Contractor,Canada,,2022-01-09,acquiredco_hris,163260,GBP,Bi-Weekly,2023-10-09,5390845.2,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000015,ACQ_00015,AcquiredCo,Amy,Moreno,Amy Moreno,amy.moreno@acquiredco.com,Customer Success,Customer Support,Solutions Architect,AC-002165,Contractor,Netherlands,,2021-01-16,acquiredco_hris,98211,GBP,Bi-Weekly,2023-02-20,3242927.22,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000017,ACQ_00017,AcquiredCo,Anna,Lopez,Anna Lopez,anna.lopez@acquiredco.com,Supply Chain,Operations,Product Manager,AC-001075,Full-Time,China,,2015-06-27,acquiredco_hris,94440,GBP,Bi-Weekly,2024-12-26,3118408.8,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000031,ACQ_00031,AcquiredCo,Donald,Lewis,Donald Lewis,donald.lewis@acquiredco.com,Engineering,Engineering,Accountant,AC-000539,Part-Time,Spain,,2023-01-27,acquiredco_hris,127387,USD,Bi-Weekly,2023-09-21,3312062.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000038,ACQ_00038,AcquiredCo,Gary,Phillips,Gary Phillips,gary.phillips@acquiredco.com,Business Development,Sales,Business Analyst,AC-002773,Contractor,United States,,2022-02-19,acquiredco_hris,95783,GBP,Bi-Weekly,2024-08-30,3162754.66,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000040,ACQ_00040,AcquiredCo,Jerry,Perez,Jerry Perez,jerry.perez@acquiredco.com,Data Science,Data,Controller,AC-000828,Full-Time,France,,2015-05-10,acquiredco_hris,114339,USD,Bi-Weekly,2024-09-05,2972814.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000041,ACQ_00041,AcquiredCo,Karen,Burns,Karen Burns,karen.burns@acquiredco.com,Supply Chain,Operations,Marketing Specialist,AC-002100,Full-Time,Germany,,2017-02-25,acquiredco_hris,120467,USD,Bi-Weekly,2023-09-22,3132142.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
